时间(分钟),信号值(微伏)
3.9360,-6082
3.9387,-6081
3.9413,-6081
3.9440,-6081
3.9467,-6081
3.9493,-6080
3.9520,-6080
3.9547,-6081
3.9573,-6081
3.9600,-6081
3.9627,-6081
3.9653,-6081
3.9680,-6081
3.9707,-6082
3.9733,-6082
3.9760,-6081
3.9787,-6081
3.9813,-6081
3.9840,-6081
3.9867,-6081
3.9893,-6081
3.9920,-6081
3.9947,-6082
3.9973,-6081
4.0000,-6080
4.0027,-6080
4.0053,-6081
4.0080,-6081
4.0107,-6081
4.0133,-6081
4.0160,-6081
4.0187,-6082
4.0213,-6081
4.0240,-6080
4.0267,-6081
4.0293,-6083
4.0320,-6082
4.0347,-6083
4.0373,-6083
4.0400,-6082
4.0427,-6081
4.0453,-6083
4.0480,-6083
4.0507,-6083
4.0533,-6082
4.0560,-6082
4.0587,-6082
4.0613,-6081
4.0640,-6082
4.0667,-6083
4.0693,-6083
4.0720,-6083
4.0747,-6084
4.0773,-6084
4.0800,-6084
4.0827,-6084
4.0853,-6084
4.0880,-6085
4.0907,-6085
4.0933,-6084
4.0960,-6083
4.0987,-6084
4.1013,-6084
4.1040,-6085
4.1067,-6084
4.1093,-6085
4.1120,-6084
4.1147,-6084
